,theta,tau
gir_ang,0.000426,
tip_tho,0.000331,
ret,0.000613,
cam_rot_antperalta,0.000804,
giraffatippelskirchicam_rot_antperaltareticulata,0.003079,0.000753
giraffatippelskirchi,0.00196,0.000315
cam_rot_antperaltareticulata,0.001101,0.000326
