,theta,tau
2p,0.004749,
3p,0.001706,
12p,0.002035,
7p10p9p6p11p14p8p,0.023002,
22p,0.004898,
13p,0.005378,
25p,0.002304,
36p,0.00171,
15p18p,0.008574,
19p16p,0.004751,
17p,0.001294,
29p,0.001719,
21p,0.005422,
20p,0.00501,
30p,0.000704,
23p,0.000475,
24p,0.000933,
27p,0.000725,
1p,0.001043,
5p,0.003188,
40p,0.005875,
28p26p,0.014846,
41p,0.001359,
31p34p33p,0.016101,
32p,0.004449,
39p,0.002561,
38p,0.002629,
42p,0.003172,
43p,0.002488,
44p48p,0.002249,
47p,0.000691,
45p,0.000676,
46p4p,0.002908,
35p37p,0.004073,
2p3p7p10p9p6p11p14p8p12p22p25p36p13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.00683,0.007994
3p7p10p9p6p11p14p8p12p22p25p36p13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.110256,0.003668
3p7p10p9p6p11p14p8p,0.003617,0.003439
12p22p25p36p13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.00862,0.003667
12p22p25p36p,0.004425,0.003155
22p25p36p,0.00898,0.001901
25p36p,0.004118,0.001507
13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.03123,0.00328
13p15p18p,0.037437,0.001792
19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.007144,0.003278
19p16p17p20p24p27p,0.034339,0.000989
17p20p24p27p,0.006376,0.000934
20p24p27p,0.002846,0.000649
24p27p,0.00199,0.000283
29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.005569,0.003258
29p30p23p,0.04478,0.002279
30p23p,0.0033,0.000378
21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.035207,0.002752
1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.006857,0.002742
1p5p,0.004731,0.000663
40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.019745,0.002367
40p39p38p41p42p43p44p48p47p45p,0.005749,0.002039
39p38p41p42p43p44p48p47p45p,0.003782,0.001831
39p38p41p,0.02051,0.000678
39p38p,0.005035,0.000568
42p43p44p48p47p45p,0.008512,0.001112
42p43p,0.007323,0.000731
44p48p47p45p,0.009214,0.000723
47p45p,0.007303,0.000315
28p26p31p34p33p32p46p4p35p37p,0.006597,0.002334
31p34p33p32p46p4p35p37p,0.007053,0.002321
32p46p4p35p37p,0.007046,0.000873
46p4p35p37p,0.005659,0.000783
