,node 1,node 2,gdi 1,gdi 2,merge accepted
0,13p,15p18p,0.49,0.34,False
1,25p,36p,0.73,0.83,False
2,30p,23p,0.66,0.8,False
3,24p,27p,0.46,0.54,False
4,1p,5p,0.72,0.34,False
5,39p,38p,0.36,0.35,False
6,42p,43p,0.37,0.44,False
7,46p4p,35p37p,0.42,0.32,False
8,47p,45p,0.6,0.61,False
