,theta,tau
2p,0.004789,
3p7p10p9p6p11p14p8p,0.023381,
12p,0.002057,
22p,0.004897,
13p,0.005374,
25p,0.002326,
36p,0.001724,
15p18p,0.008528,
19p16p,0.004983,
17p,0.001343,
29p,0.001728,
21p,0.005451,
20p,0.004953,
30p,0.000708,
23p,0.000482,
24p,0.000948,
27p,0.000746,
1p,0.001035,
5p,0.003161,
40p,0.00586,
28p26p,0.014197,
41p,0.001394,
31p34p33p,0.015416,
32p,0.004506,
39p,0.002639,
38p,0.002703,
42p,0.003164,
43p,0.002495,
44p48p,0.002247,
47p,0.000728,
45p,0.000714,
46p4p,0.002934,
35p37p,0.004098,
2p3p7p10p9p6p11p14p8p12p22p25p36p13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.006643,0.008146
3p7p10p9p6p11p14p8p12p22p25p36p13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.09135,0.004095
12p22p25p36p13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.015651,0.004091
12p22p25p36p,0.007141,0.003181
22p25p36p,0.009646,0.001889
25p36p,0.003924,0.001522
13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.04885,0.003335
13p15p18p,0.039879,0.001797
19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.009806,0.003332
19p16p17p20p24p27p,0.03479,0.001051
17p20p24p27p,0.00643,0.000976
20p24p27p,0.003428,0.000637
24p27p,0.001886,0.000289
29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.004783,0.003312
29p30p23p,0.039297,0.002286
30p23p,0.003325,0.000383
21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.038921,0.002763
1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.008634,0.002753
1p5p,0.004775,0.000656
40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.02795,0.00222
40p39p38p41p42p43p44p48p47p45p,0.00338,0.002045
39p38p41p42p43p44p48p47p45p,0.003877,0.001819
39p38p41p,0.020434,0.000702
39p38p,0.004906,0.000584
42p43p44p48p47p45p,0.008748,0.001086
42p43p,0.006868,0.000733
44p48p47p45p,0.008607,0.000725
47p45p,0.007177,0.000333
28p26p31p34p33p32p46p4p35p37p,0.007436,0.002176
31p34p33p32p46p4p35p37p,0.007518,0.002166
32p46p4p35p37p,0.006308,0.000881
46p4p35p37p,0.005718,0.00079
