Gen	theta_1El	theta_2Mi	theta_3An	theta_4Po	theta_5Ab	theta_6Ge	theta_7Tr	theta_8MiPoAbAnGeTrEl	theta_9MiPoAbAnGeTr	theta_10MiPoAb	theta_11PoAb	theta_12AnGeTr	theta_13GeTr	tau_8MiPoAbAnGeTrEl	tau_9MiPoAbAnGeTr	tau_10MiPoAb	tau_11PoAb	tau_12AnGeTr	tau_13GeTr	M_El->Ge	M_El->Tr	M_An->Po	M_An->Ge	M_Po->An	M_Po->Ab	M_Ab->Po	M_Ge->El	M_Ge->An	M_Ge->Tr	M_Tr->El	M_Tr->Ge	lnL
357	0.002559	0.001067	0.002103	0.004419	0.002673	0.002890	0.001408	0.006194	0.002385	0.007214	0.001379	0.002622	0.010991	0.002171	0.002131	0.001113	0.001105	0.002041	0.000403	0.000000	0.000001	0.000000	0.198520	0.000012	0.000078	0.315672	0.000000	0.146418	0.026372	0.051249	0.307630	-11931.612
358	0.002559	0.001067	0.002103	0.004419	0.002673	0.002890	0.001408	0.007426	0.002385	0.007214	0.001913	0.003553	0.009988	0.002171	0.002131	0.001113	0.001105	0.002066	0.000403	0.000000	0.000001	0.000000	0.198520	0.000000	0.000930	0.315672	0.000000	0.146418	0.026372	0.051249	0.307630	-11942.300
359	0.002559	0.001067	0.002103	0.004419	0.002673	0.002890	0.001408	0.007426	0.003450	0.006234	0.001913	0.004123	0.011254	0.002171	0.002131	0.001113	0.001105	0.002066	0.000403	0.000000	0.000000	0.000000	0.198520	0.000000	0.000321	0.315672	0.000000	0.146418	0.026372	0.051249	0.307630	-11951.904
360	0.002265	0.000944	0.001851	0.003912	0.002366	0.003393	0.001246	0.006573	0.003054	0.006380	0.001693	0.003649	0.008930	0.001922	0.001886	0.000985	0.000978	0.001829	0.000398	0.000040	0.000000	0.000000	0.198520	0.000000	0.000321	0.315672	0.000000	0.146418	0.026372	0.051249	0.307630	-11941.246
361	0.002607	0.001087	0.002130	0.004423	0.002724	0.003906	0.001435	0.006373	0.003516	0.005670	0.003303	0.004714	0.010280	0.002212	0.002171	0.001134	0.001126	0.002105	0.000458	0.000916	0.000000	0.000000	0.198520	0.000000	0.000321	0.315672	0.000000	0.146418	0.026372	0.051249	0.307630	-11944.308
362	0.002468	0.001029	0.002016	0.004186	0.002578	0.003697	0.001358	0.006918	0.002320	0.005341	0.004136	0.004462	0.009335	0.002094	0.002065	0.001074	0.001034	0.001993	0.000494	0.000026	0.000000	0.000000	0.198520	0.000000	0.000076	0.315672	0.000000	0.146418	0.072868	0.051249	0.307630	-11933.208
363	0.002468	0.001029	0.002016	0.004186	0.002578	0.003280	0.001358	0.005611	0.002740	0.004895	0.004149	0.004620	0.010487	0.002094	0.002065	0.001074	0.001034	0.001942	0.000494	0.000001	0.000000	0.000000	0.198520	0.000040	0.000076	0.315672	0.000000	0.146418	0.072868	0.051249	0.307630	-11920.665
364	0.002468	0.001029	0.002016	0.004186	0.002578	0.003280	0.001807	0.005611	0.004563	0.003950	0.004082	0.003952	0.010487	0.002094	0.002016	0.001074	0.001051	0.001920	0.000494	0.000062	0.000000	0.000000	0.198520	0.000000	0.000437	0.315672	0.000000	0.146418	0.072868	0.051249	0.307630	-11920.308
365	0.002468	0.001029	0.002016	0.004186	0.002578	0.004137	0.001807	0.007091	0.003909	0.003950	0.004161	0.003367	0.011336	0.002094	0.002016	0.001074	0.001031	0.001920	0.000494	0.000009	0.000000	0.000000	0.198520	0.000000	0.000083	0.315672	0.000000	0.146418	0.072868	0.051249	0.307630	-11921.257
366	0.002468	0.001029	0.002016	0.004186	0.002578	0.004137	0.001807	0.007091	0.002215	0.003950	0.006239	0.003286	0.009876	0.002094	0.002064	0.001074	0.001031	0.001956	0.000536	0.005993	0.000000	0.000000	0.198520	0.000000	0.000083	0.315672	0.000000	0.146418	0.072868	0.051249	0.307630	-11934.559
367	0.002468	0.001029	0.002016	0.004186	0.003458	0.004137	0.001807	0.007091	0.003297	0.003950	0.006239	0.003211	0.010696	0.002094	0.002074	0.001074	0.001031	0.001989	0.000536	0.000190	0.000000	0.000000	0.198520	0.000002	0.000004	0.315672	0.000000	0.146418	0.072868	0.051249	0.307630	-11929.274
368	0.002377	0.001033	0.002024	0.004202	0.003471	0.003112	0.001814	0.007117	0.004493	0.003964	0.007369	0.004006	0.011071	0.002102	0.002082	0.001078	0.001035	0.001966	0.000489	0.000190	0.000000	0.000000	0.198520	0.000108	0.000124	0.315672	0.000000	0.146418	0.072868	0.013455	0.183420	-11934.921
369	0.002377	0.001033	0.002024	0.004202	0.003471	0.003112	0.001814	0.007924	0.003370	0.003492	0.006604	0.003860	0.011964	0.002102	0.002082	0.001091	0.001035	0.001951	0.000489	0.000006	0.000000	0.000000	0.198520	0.001359	0.004148	0.315672	0.000000	0.146418	0.072868	0.013455	0.183420	-11940.629
370	0.002377	0.001033	0.002024	0.004202	0.003471	0.003112	0.001814	0.008672	0.002443	0.003492	0.006925	0.002987	0.011964	0.002102	0.002082	0.001091	0.000987	0.001951	0.000489	0.000013	0.000000	0.000001	0.198520	0.000010	0.004148	0.315672	0.000000	0.146418	0.072868	0.013455	0.183420	-11910.996
371	0.002222	0.000965	0.001892	0.003929	0.003245	0.002910	0.001696	0.008108	0.002268	0.003265	0.007526	0.002760	0.008925	0.001965	0.001947	0.001020	0.000972	0.001840	0.000508	0.000001	0.000000	0.000014	0.198520	0.000000	0.004148	0.315672	0.000000	0.146418	0.072868	0.013455	0.183420	-11928.585
372	0.002222	0.000965	0.001982	0.004338	0.003245	0.002910	0.001696	0.007558	0.002311	0.004073	0.007499	0.003789	0.008004	0.001965	0.001945	0.001020	0.000976	0.001895	0.000508	0.000001	0.000000	0.000014	0.103630	0.000000	0.000603	0.315672	0.000000	0.146418	0.072868	0.013455	0.183420	-11919.793
373	0.002222	0.000965	0.002558	0.004338	0.003330	0.002790	0.001696	0.008286	0.002311	0.004073	0.007180	0.004719	0.008004	0.001965	0.001945	0.001020	0.000976	0.001923	0.000508	0.000000	0.000000	0.000497	0.103630	0.000006	0.000603	0.315672	0.000000	0.146418	0.072868	0.013455	0.183420	-11902.496
374	0.002222	0.000965	0.002558	0.004654	0.003330	0.002790	0.001696	0.008286	0.001591	0.004073	0.006963	0.005476	0.008004	0.001965	0.001958	0.001020	0.000976	0.001923	0.000508	0.000000	0.000000	0.003926	0.103630	0.000000	0.000603	0.315672	0.000000	0.146418	0.072868	0.013455	0.183420	-11907.150
375	0.002049	0.000890	0.002359	0.004292	0.003070	0.002573	0.001564	0.007639	0.003229	0.003756	0.005507	0.004644	0.007381	0.001812	0.001788	0.000941	0.000900	0.001772	0.000468	0.000016	0.000000	0.003926	0.103630	0.000000	0.000603	0.315672	0.000012	0.146418	0.072868	0.013455	0.183420	-11920.246
376	0.002049	0.000890	0.001767	0.004292	0.003070	0.002573	0.002448	0.007010	0.003612	0.003756	0.005049	0.004644	0.006773	0.001812	0.001788	0.000941	0.000900	0.001772	0.000468	0.000476	0.000003	0.000091	0.103630	0.000001	0.000603	0.315672	0.004454	0.146418	0.072868	0.038055	0.183420	-11915.456
377	0.002964	0.000890	0.001767	0.004292	0.003070	0.002573	0.002448	0.007010	0.002688	0.003473	0.006445	0.005507	0.007342	0.001812	0.001798	0.000941	0.000852	0.001775	0.000468	0.000476	0.000000	0.000002	0.103630	0.000000	0.000016	0.315672	0.000052	0.146418	0.072868	0.038055	0.183420	-11927.885
378	0.002929	0.000994	0.001974	0.004793	0.003429	0.002874	0.002734	0.008781	0.001538	0.002800	0.005944	0.005586	0.008200	0.002024	0.002016	0.001051	0.000997	0.001932	0.000523	0.000009	0.000000	0.000000	0.103630	0.000013	0.000001	0.315672	0.000001	0.146418	0.026167	0.038055	0.183420	-11915.240
379	0.002929	0.000994	0.002390	0.005306	0.003429	0.002874	0.001946	0.008781	0.002196	0.003242	0.005944	0.006394	0.009294	0.002024	0.002016	0.001051	0.000997	0.001932	0.000523	0.000009	0.000000	0.000000	0.103630	0.000055	0.000022	0.315672	0.000003	0.146418	0.026167	0.038055	0.183420	-11920.517
380	0.002621	0.000890	0.002139	0.004748	0.003069	0.002571	0.001741	0.007342	0.002978	0.002776	0.005976	0.004612	0.009072	0.001811	0.001804	0.000940	0.000892	0.001762	0.000429	0.000000	0.000000	0.000000	0.103630	0.000001	0.006400	0.315672	0.000000	0.146418	0.026167	0.038055	0.183420	-11919.476
381	0.002523	0.000857	0.002059	0.004571	0.002954	0.002475	0.001676	0.006960	0.003692	0.002673	0.005075	0.003592	0.007955	0.001744	0.001736	0.000905	0.000859	0.001696	0.000452	0.000000	0.000000	0.000002	0.103630	0.000000	0.006400	0.315672	0.000000	0.146418	0.130133	0.038055	0.183420	-11960.619
382	0.002523	0.000857	0.002059	0.004571	0.002954	0.002475	0.002057	0.006960	0.003692	0.002673	0.005320	0.004424	0.006652	0.001744	0.001736	0.000905	0.000859	0.001696	0.000484	0.000000	0.000000	0.000789	0.103630	0.000000	0.006400	0.315672	0.000000	0.146418	0.130133	0.038055	0.183420	-11947.805
383	0.002523	0.000857	0.002059	0.004571	0.002954	0.002325	0.002057	0.006960	0.004783	0.002936	0.003985	0.004945	0.007594	0.001744	0.001743	0.000905	0.000859	0.001735	0.000484	0.000000	0.000000	0.000789	0.103630	0.000000	0.000276	0.315672	0.000000	0.146418	0.130133	0.038055	0.183420	-11941.034
384	0.002523	0.000857	0.002059	0.004571	0.002506	0.002325	0.002057	0.006960	0.005643	0.002936	0.004912	0.004945	0.006755	0.001744	0.001743	0.000905	0.000859	0.001735	0.000544	0.000000	0.000000	0.004965	0.103630	0.000000	0.000068	0.315672	0.000008	0.040287	0.130133	0.038055	0.183420	-11945.586
385	0.001880	0.000857	0.002059	0.004571	0.002506	0.002325	0.002913	0.008086	0.005952	0.004095	0.004020	0.005060	0.006725	0.001744	0.001742	0.000905	0.000832	0.001708	0.000547	0.000000	0.000000	0.000606	0.103630	0.000000	0.000004	0.315672	0.000008	0.040287	0.130133	0.038055	0.183420	-11928.692
386	0.002116	0.000964	0.002317	0.005143	0.002820	0.002616	0.003278	0.009100	0.005402	0.004608	0.005299	0.006448	0.007568	0.001962	0.001960	0.001018	0.000937	0.001930	0.000615	0.000000	0.000001	0.000068	0.103630	0.000000	0.000004	0.315672	0.000000	0.040287	0.145291	0.038055	0.183420	-11948.120
387	0.001967	0.000896	0.002155	0.005318	0.002623	0.002433	0.003048	0.008462	0.005974	0.004285	0.003755	0.005438	0.007037	0.001824	0.001823	0.000947	0.000871	0.001794	0.000572	0.000000	0.000028	0.000068	0.103630	0.000000	0.000000	0.315672	0.000006	0.040287	0.145291	0.038055	0.183420	-11936.478
388	0.001967	0.000896	0.002155	0.005239	0.002623	0.002433	0.002110	0.007326	0.007088	0.004285	0.003755	0.005438	0.007431	0.001824	0.001823	0.000947	0.000871	0.001794	0.000542	0.000000	0.001363	0.000001	0.103630	0.000005	0.000000	0.315672	0.000222	0.040287	0.145291	0.038055	0.183420	-11921.132
389	0.002041	0.000930	0.002236	0.004086	0.002721	0.002524	0.002189	0.007127	0.006152	0.004446	0.002361	0.005613	0.007710	0.001893	0.001891	0.000983	0.000904	0.001858	0.000562	0.000000	0.000021	0.000001	0.103630	0.000005	0.000000	0.315672	0.000222	0.040287	0.145291	0.038055	0.183420	-11897.649
390	0.002041	0.000930	0.002236	0.004086	0.002721	0.002524	0.002189	0.007127	0.007553	0.004601	0.002361	0.005613	0.008976	0.001893	0.001891	0.000980	0.000904	0.001858	0.000562	0.000000	0.001490	0.000000	0.103630	0.000005	0.000000	0.315672	0.000222	0.040287	0.145291	0.038055	0.183420	-11916.957
391	0.002041	0.000930	0.002236	0.004086	0.002721	0.002519	0.002189	0.007127	0.006978	0.003371	0.002433	0.004680	0.008147	0.001893	0.001891	0.000980	0.000877	0.001858	0.000562	0.000000	0.006846	0.000000	0.103630	0.000001	0.000000	0.315672	0.005956	0.040287	0.145291	0.038055	0.183420	-11891.307
392	0.002333	0.001063	0.002555	0.004669	0.003110	0.002879	0.002502	0.008834	0.008363	0.003852	0.002780	0.004319	0.008565	0.002163	0.002161	0.001120	0.001002	0.002124	0.000604	0.000000	0.000032	0.000000	0.103630	0.000035	0.000000	0.315672	0.000977	0.040287	0.145291	0.038055	0.183420	-11898.691
393	0.002223	0.001013	0.002434	0.004449	0.002963	0.002744	0.002384	0.008418	0.012176	0.004058	0.001553	0.004213	0.006939	0.002061	0.002050	0.001056	0.000955	0.001990	0.000619	0.000000	0.000032	0.000000	0.103630	0.000105	0.000000	0.315672	0.000977	0.040287	0.145291	0.038055	0.183420	-11910.349
394	0.002223	0.001013	0.002434	0.004449	0.002963	0.002744	0.002384	0.008418	0.011197	0.004058	0.001553	0.003091	0.007838	0.002061	0.002050	0.001056	0.000955	0.001990	0.000619	0.000000	0.005424	0.000000	0.103630	0.000003	0.000000	0.315672	0.016180	0.040287	0.145291	0.038055	0.183420	-11917.961
395	0.002410	0.001013	0.002434	0.004449	0.002963	0.002744	0.002775	0.008418	0.010695	0.004973	0.002601	0.002030	0.007838	0.002061	0.002050	0.001056	0.000914	0.001950	0.000619	0.000000	0.005424	0.000000	0.103630	0.000003	0.000000	0.315672	0.016180	0.040287	0.145291	0.038055	0.183420	-11890.343
396	0.002531	0.001013	0.002434	0.004449	0.002963	0.002744	0.002775	0.008133	0.011802	0.004279	0.002601	0.003566	0.008878	0.002061	0.002050	0.001056	0.000914	0.001951	0.000573	0.000000	0.000602	0.000000	0.103630	0.000000	0.000000	0.315672	0.023358	0.040287	0.145291	0.038055	0.183420	-11912.134
397	0.002237	0.000895	0.002151	0.003932	0.003082	0.002424	0.002452	0.007187	0.012234	0.004015	0.001426	0.004125	0.008592	0.001822	0.001793	0.000933	0.000840	0.001724	0.000506	0.000000	0.000602	0.000000	0.103630	0.000012	0.000000	0.315672	0.001572	0.040287	0.145291	0.038055	0.183420	-11944.287
398	0.002442	0.000977	0.002348	0.004291	0.003364	0.002646	0.002677	0.008786	0.010557	0.003955	0.001557	0.004655	0.009378	0.001988	0.001979	0.001019	0.000917	0.001882	0.000552	0.000000	0.000602	0.000000	0.103630	0.000070	0.000003	0.315672	0.004035	0.040287	0.145291	0.038055	0.183420	-11929.211
399	0.002286	0.000914	0.002198	0.004017	0.003550	0.002477	0.002506	0.009020	0.011190	0.003702	0.002278	0.003118	0.007461	0.001861	0.001853	0.000954	0.000859	0.001796	0.000585	0.000000	0.000011	0.000000	0.103630	0.000070	0.000000	0.315672	0.004035	0.091938	0.145291	0.038055	0.183420	-11917.137
400	0.002286	0.000914	0.002198	0.004017	0.003550	0.002477	0.002506	0.009020	0.010031	0.003702	0.001439	0.002343	0.008521	0.001861	0.001853	0.000954	0.000859	0.001796	0.000585	0.000000	0.001006	0.000000	0.103630	0.000070	0.000000	0.315672	0.000011	0.091938	0.145291	0.038055	0.183420	-11925.824
401	0.002286	0.000914	0.002198	0.004017	0.003550	0.002477	0.002506	0.007308	0.009277	0.003702	0.001380	0.001500	0.007005	0.001861	0.001853	0.000954	0.000895	0.001796	0.000625	0.000000	0.001006	0.000000	0.103630	0.000169	0.000000	0.315672	0.000000	0.091938	0.145291	0.038055	0.183420	-11923.178
402	0.002286	0.000914	0.002198	0.004017	0.003550	0.003068	0.002506	0.006686	0.011096	0.003702	0.001405	0.002496	0.008396	0.001861	0.001843	0.000954	0.000880	0.001757	0.000625	0.000000	0.012800	0.000000	0.103630	0.006367	0.000027	0.315672	0.000000	0.091938	0.145291	0.038055	0.183420	-11901.971
403	0.002286	0.000914	0.002198	0.004017	0.003550	0.003068	0.002506	0.006686	0.011966	0.003702	0.001430	0.002496	0.008396	0.001861	0.001843	0.000954	0.000864	0.001757	0.000625	0.000000	0.000377	0.000000	0.103630	0.000010	0.000027	0.315672	0.000000	0.091938	0.145291	0.038055	0.183420	-11909.342
404	0.002527	0.001011	0.002430	0.005403	0.003926	0.003392	0.002771	0.007392	0.014699	0.004834	0.001581	0.001731	0.008253	0.002058	0.002038	0.001055	0.000955	0.001943	0.000691	0.000000	0.000377	0.000000	0.103630	0.000336	0.000749	0.315672	0.000000	0.091938	0.145291	0.038055	0.183420	-11916.070
405	0.002527	0.001011	0.002430	0.005403	0.003926	0.003392	0.002771	0.006477	0.013571	0.003891	0.003097	0.001731	0.009186	0.002058	0.002038	0.001055	0.000955	0.001943	0.000691	0.000000	0.000377	0.000000	0.103630	0.000336	0.000022	0.354702	0.000000	0.091938	0.215595	0.038055	0.183420	-11927.365
406	0.002527	0.001011	0.002430	0.005403	0.003926	0.003039	0.002771	0.007298	0.012541	0.003846	0.003097	0.001771	0.011376	0.002058	0.002038	0.001055	0.000955	0.001915	0.000646	0.000000	0.000505	0.000000	0.103630	0.004955	0.000022	0.354702	0.000000	0.091938	0.215595	0.038055	0.183420	-11914.131
407	0.002527	0.001011	0.002430	0.005403	0.003926	0.003039	0.003295	0.007298	0.013036	0.004313	0.003110	0.001711	0.012459	0.002058	0.002038	0.001055	0.000951	0.001959	0.000646	0.000000	0.000295	0.000002	0.103630	0.000114	0.001617	0.354702	0.000000	0.091938	0.215595	0.038055	0.183420	-11908.927
408	0.002224	0.000890	0.002138	0.004754	0.003454	0.002674	0.002899	0.005268	0.010626	0.002980	0.003424	0.001758	0.010962	0.001811	0.001793	0.000932	0.000837	0.001724	0.000568	0.000000	0.000295	0.000034	0.103630	0.016642	0.000024	0.354702	0.000000	0.091938	0.215595	0.038055	0.183420	-11922.088
409	0.002224	0.000890	0.002138	0.004754	0.002897	0.002674	0.002899	0.004742	0.010877	0.002980	0.002421	0.001758	0.010308	0.001811	0.001795	0.000932	0.000864	0.001724	0.000568	0.000000	0.005828	0.000481	0.103630	0.000127	0.000570	0.354702	0.000000	0.091938	0.215595	0.038055	0.183420	-11934.302
410	0.002224	0.000890	0.002138	0.004754	0.002897	0.002674	0.002878	0.004460	0.011167	0.002980	0.002460	0.001802	0.011350	0.001812	0.001789	0.000932	0.000850	0.001695	0.000543	0.000000	0.000077	0.000715	0.103630	0.005520	0.000570	0.354702	0.000000	0.091938	0.215595	0.024107	0.183420	-11930.648
