Gen	theta_1El	theta_2Mi	theta_3An	theta_4Po	theta_5Ab	theta_6Ge	theta_7Tr	theta_8MiPoAbAnGeTrEl	theta_9MiPoAbAnGeTr	theta_10MiPoAb	theta_11PoAb	theta_12AnGeTr	theta_13GeTr	tau_8MiPoAbAnGeTrEl	tau_9MiPoAbAnGeTr	tau_10MiPoAb	tau_11PoAb	tau_12AnGeTr	tau_13GeTr	M_El->Ge	M_El->Tr	M_An->Po	M_An->Ge	M_Po->An	M_Po->Ab	M_Ab->Po	M_Ge->El	M_Ge->An	M_Ge->Tr	M_Tr->El	M_Tr->Ge	lnL
1	0.003082	0.000828	0.002971	0.003639	0.003506	0.002294	0.001637	0.006047	0.002769	0.002586	0.009104	0.004573	0.008419	0.002048	0.001885	0.001056	0.000990	0.001642	0.000491	0.000000	0.010701	0.000043	0.265830	0.000256	0.000229	0.123997	0.002061	0.113350	0.049583	0.026612	0.151062	-11935.948
2	0.003082	0.000828	0.002971	0.003639	0.003506	0.002294	0.001637	0.005873	0.002413	0.002586	0.008327	0.004372	0.008419	0.002048	0.001920	0.001056	0.000990	0.001695	0.000491	0.000000	0.010701	0.000463	0.265830	0.000015	0.004554	0.123997	0.000016	0.113350	0.049583	0.026612	0.151062	-11919.603
3	0.003082	0.000828	0.002971	0.003639	0.003506	0.002294	0.001637	0.006658	0.002675	0.002586	0.007584	0.003439	0.009095	0.002048	0.001920	0.001056	0.000990	0.001695	0.000491	0.000000	0.010701	0.000463	0.265830	0.000340	0.004554	0.123997	0.000000	0.113350	0.049583	0.026612	0.151062	-11923.142
4	0.003082	0.000828	0.002971	0.003639	0.003506	0.002294	0.002097	0.007773	0.004407	0.003642	0.006418	0.004286	0.008943	0.002048	0.001920	0.001056	0.001020	0.001695	0.000491	0.000000	0.010701	0.000463	0.265830	0.000009	0.004554	0.123997	0.000003	0.113350	0.049583	0.026612	0.151062	-11926.765
5	0.003082	0.000828	0.002971	0.003639	0.003506	0.002294	0.002097	0.006615	0.005528	0.003642	0.007662	0.006251	0.008943	0.002048	0.001875	0.001056	0.000981	0.001697	0.000491	0.000000	0.010701	0.000463	0.265830	0.000000	0.004554	0.123997	0.000003	0.113350	0.049583	0.026612	0.151062	-11922.260
6	0.003356	0.000902	0.003235	0.003963	0.003818	0.002499	0.002284	0.006623	0.006027	0.003966	0.007078	0.007592	0.009739	0.002230	0.002005	0.001150	0.001068	0.001880	0.000535	0.000000	0.010701	0.000463	0.265830	0.000000	0.001558	0.123997	0.000241	0.113350	0.049583	0.026612	0.151062	-11946.305
7	0.003434	0.000923	0.003310	0.004056	0.003907	0.002557	0.002337	0.007858	0.007512	0.004059	0.005914	0.008064	0.009921	0.002282	0.002052	0.001177	0.001093	0.001874	0.000547	0.000000	0.010701	0.000463	0.265830	0.000000	0.001558	0.123997	0.008611	0.113350	0.049583	0.026612	0.151062	-11952.810
8	0.003061	0.000822	0.002951	0.003615	0.003483	0.002279	0.001431	0.006138	0.006696	0.003618	0.004963	0.005011	0.010069	0.002034	0.001829	0.001049	0.000946	0.001633	0.000488	0.000000	0.006842	0.000463	0.265830	0.000001	0.001558	0.123997	0.008611	0.113350	0.049583	0.026612	0.151062	-11946.041
9	0.003398	0.000913	0.003275	0.004012	0.003865	0.002530	0.001588	0.006812	0.008119	0.003114	0.005508	0.005332	0.011175	0.002258	0.002033	0.001165	0.001049	0.001868	0.000541	0.000000	0.006842	0.000001	0.265830	0.000000	0.001558	0.123997	0.000463	0.113350	0.049583	0.067816	0.197711	-11944.191
10	0.003398	0.000913	0.003275	0.004012	0.003865	0.002530	0.001588	0.006812	0.008454	0.002736	0.005508	0.004563	0.010461	0.002258	0.002046	0.001165	0.001049	0.001834	0.000541	0.000000	0.006842	0.001420	0.265830	0.000000	0.000429	0.123997	0.000463	0.113350	0.049583	0.067816	0.197711	-11974.637
11	0.003165	0.000850	0.003051	0.003737	0.002669	0.002356	0.001479	0.005764	0.008571	0.002298	0.004509	0.003364	0.009379	0.002123	0.001862	0.001085	0.000971	0.001727	0.000504	0.000000	0.006842	0.000033	0.265830	0.000007	0.000013	0.123997	0.000463	0.113350	0.049583	0.067816	0.197711	-11940.920
12	0.003165	0.000850	0.003051	0.003737	0.002669	0.002356	0.001479	0.006326	0.009564	0.003325	0.003623	0.002359	0.009379	0.002123	0.001864	0.001050	0.000918	0.001727	0.000504	0.000000	0.000483	0.000033	0.265830	0.000000	0.001368	0.123997	0.000027	0.113350	0.049583	0.067816	0.197711	-11939.781
13	0.003165	0.000850	0.003051	0.003737	0.002669	0.002356	0.001479	0.007199	0.017678	0.004293	0.004349	0.002359	0.010797	0.002123	0.001809	0.001020	0.000918	0.001727	0.000504	0.000000	0.000667	0.000002	0.265830	0.000000	0.001368	0.123997	0.000027	0.113350	0.049583	0.067816	0.197711	-11958.348
14	0.003165	0.000850	0.003051	0.003737	0.002669	0.002356	0.002068	0.006692	0.016399	0.004293	0.003748	0.001425	0.010100	0.002091	0.001809	0.001020	0.000918	0.001727	0.000504	0.000000	0.000667	0.000002	0.265830	0.000000	0.001368	0.123997	0.001180	0.113350	0.049583	0.067816	0.197711	-11948.474
15	0.003165	0.000850	0.003051	0.003737	0.002669	0.002356	0.002068	0.005917	0.014963	0.004293	0.003748	0.001416	0.009432	0.002091	0.001809	0.001020	0.000918	0.001735	0.000504	0.000000	0.000667	0.000000	0.265830	0.000000	0.001368	0.123997	0.000049	0.113350	0.049583	0.067816	0.197711	-11961.874
16	0.003165	0.000850	0.003051	0.003737	0.002669	0.002518	0.002371	0.005251	0.014963	0.002879	0.003748	0.001477	0.009503	0.002091	0.001809	0.001070	0.000918	0.001685	0.000504	0.000000	0.000667	0.000017	0.265830	0.000000	0.000001	0.123997	0.001797	0.113350	0.049583	0.067816	0.197711	-11957.761
17	0.002383	0.000955	0.003181	0.004199	0.002998	0.002829	0.002664	0.005899	0.015253	0.003595	0.004022	0.001659	0.010677	0.002350	0.002032	0.001202	0.001079	0.001893	0.000566	0.000000	0.001725	0.000893	0.265830	0.000024	0.000000	0.123997	0.001797	0.113350	0.049583	0.067816	0.197711	-11970.855
18	0.002383	0.000955	0.003181	0.004573	0.002998	0.002829	0.002664	0.005657	0.011146	0.004279	0.002177	0.002250	0.011590	0.002350	0.002073	0.001202	0.001116	0.001905	0.000545	0.000000	0.001725	0.000893	0.265830	0.000024	0.000011	0.123997	0.001797	0.113350	0.049583	0.067816	0.197711	-11962.222
19	0.002383	0.000955	0.003181	0.004573	0.002998	0.002829	0.001975	0.006352	0.009071	0.004279	0.001793	0.002188	0.010038	0.002319	0.002111	0.001202	0.001148	0.001943	0.000545	0.000000	0.001725	0.000105	0.265830	0.000024	0.000001	0.123997	0.000008	0.113350	0.049583	0.067816	0.197711	-11986.262
20	0.002337	0.000866	0.002882	0.004144	0.002717	0.002563	0.001790	0.005231	0.007468	0.003877	0.001680	0.001848	0.010910	0.002102	0.001913	0.001090	0.001006	0.001718	0.000494	0.000000	0.001725	0.000003	0.265830	0.000024	0.000000	0.123997	0.000159	0.113350	0.049583	0.067816	0.197711	-11971.459
21	0.002337	0.000866	0.002882	0.004144	0.002717	0.002563	0.001790	0.005231	0.010139	0.003411	0.001680	0.001910	0.008932	0.002102	0.001889	0.001101	0.001006	0.001678	0.000547	0.000000	0.038698	0.000003	0.265830	0.000001	0.000000	0.123997	0.000159	0.113350	0.049583	0.067816	0.197711	-11955.033
22	0.002604	0.000964	0.003731	0.004617	0.003028	0.002856	0.001994	0.005829	0.008821	0.004457	0.003060	0.002924	0.010521	0.002342	0.002148	0.001227	0.001077	0.001870	0.000610	0.000000	0.000712	0.000014	0.265830	0.000000	0.000000	0.123997	0.000159	0.113350	0.049583	0.067816	0.197711	-11954.918
23	0.002325	0.000861	0.003332	0.004123	0.002704	0.002992	0.001781	0.006021	0.006784	0.003980	0.001946	0.002611	0.009477	0.002091	0.001918	0.001096	0.000962	0.001670	0.000591	0.000000	0.029514	0.000000	0.265830	0.000000	0.000000	0.123997	0.000005	0.113350	0.049583	0.067816	0.197711	-11952.850
24	0.002325	0.000861	0.003332	0.004123	0.002704	0.002992	0.001864	0.006021	0.008280	0.003980	0.001946	0.002611	0.010210	0.002091	0.001873	0.001096	0.000962	0.001670	0.000595	0.000000	0.029514	0.000000	0.265830	0.000000	0.000007	0.123997	0.000054	0.113350	0.049583	0.067816	0.197711	-11953.049
25	0.002325	0.000861	0.003332	0.004123	0.002704	0.002992	0.001864	0.005745	0.008586	0.004248	0.001334	0.002618	0.009621	0.002102	0.001844	0.001087	0.000962	0.001667	0.000595	0.000007	0.029514	0.000000	0.265830	0.000000	0.000000	0.123997	0.000054	0.113350	0.010827	0.067816	0.197711	-11940.096
26	0.002325	0.000861	0.002361	0.004123	0.002704	0.002992	0.001864	0.006146	0.009360	0.003207	0.001334	0.002504	0.009904	0.002085	0.001844	0.001087	0.000962	0.001716	0.000640	0.000051	0.029514	0.000002	0.265830	0.000000	0.000051	0.123997	0.000002	0.113350	0.010827	0.067816	0.197711	-11940.591
27	0.002554	0.000946	0.002593	0.004529	0.002970	0.003699	0.002048	0.005739	0.008293	0.004625	0.001466	0.001938	0.011699	0.002290	0.002060	0.001194	0.001057	0.001885	0.000654	0.000004	0.021877	0.000000	0.265830	0.000000	0.000003	0.123997	0.000027	0.113350	0.010827	0.065052	0.197711	-11932.196
28	0.002554	0.000946	0.002593	0.004529	0.002970	0.003699	0.002048	0.005739	0.008436	0.003041	0.001399	0.001938	0.010616	0.002290	0.002039	0.001218	0.001107	0.001885	0.000694	0.000000	0.021877	0.000000	0.265830	0.000000	0.000000	0.123997	0.000000	0.113350	0.010827	0.010875	0.197711	-11949.145
29	0.002554	0.000946	0.002593	0.004573	0.002970	0.003699	0.002048	0.004464	0.008910	0.003041	0.001399	0.002038	0.009472	0.002290	0.002014	0.001218	0.001107	0.001826	0.000694	0.000138	0.021877	0.000000	0.265830	0.000000	0.000103	0.123997	0.000033	0.113350	0.010827	0.010875	0.197711	-11938.365
30	0.002554	0.000946	0.002593	0.004573	0.003748	0.002989	0.001804	0.004558	0.009892	0.003041	0.001399	0.002885	0.009537	0.002243	0.002014	0.001218	0.001107	0.001805	0.000653	0.000138	0.021877	0.000000	0.265830	0.000000	0.000002	0.123997	0.000024	0.113350	0.010827	0.010875	0.197711	-11909.828
31	0.002554	0.000946	0.002593	0.004573	0.004462	0.002989	0.001804	0.004868	0.009180	0.004265	0.001341	0.002973	0.009560	0.002266	0.002014	0.001218	0.001155	0.001771	0.000606	0.000014	0.021877	0.000000	0.265830	0.000000	0.000073	0.123997	0.000024	0.113350	0.010827	0.010875	0.197711	-11921.447
32	0.002554	0.000946	0.002746	0.004573	0.004462	0.002989	0.001804	0.005551	0.011651	0.003484	0.002574	0.003124	0.008508	0.002266	0.001975	0.001218	0.001155	0.001765	0.000606	0.000000	0.021877	0.000000	0.265830	0.000009	0.001488	0.123997	0.000001	0.113350	0.010827	0.010875	0.197711	-11939.658
33	0.002554	0.000946	0.003461	0.004573	0.004462	0.002989	0.001804	0.004682	0.012549	0.003484	0.003768	0.003223	0.009215	0.002266	0.001975	0.001218	0.001084	0.001730	0.000606	0.000001	0.021877	0.000000	0.265830	0.000000	0.001488	0.123997	0.000001	0.113350	0.010827	0.010875	0.197711	-11931.154
34	0.002508	0.000929	0.003399	0.004491	0.003746	0.002935	0.001771	0.003809	0.010402	0.003421	0.003234	0.004038	0.007746	0.002225	0.001964	0.001196	0.001064	0.001699	0.000595	0.000001	0.021877	0.000015	0.265830	0.000005	0.001488	0.123997	0.000207	0.113350	0.010827	0.010875	0.197711	-11934.943
35	0.002508	0.000929	0.003772	0.004491	0.003746	0.002935	0.001771	0.003809	0.008360	0.003421	0.003886	0.004119	0.005982	0.002225	0.002004	0.001196	0.001103	0.001677	0.000603	0.000002	0.021877	0.000001	0.265830	0.000005	0.001488	0.123997	0.000207	0.113350	0.010827	0.010875	0.197711	-11943.060
36	0.002508	0.000929	0.003204	0.004491	0.003746	0.002935	0.001771	0.004036	0.011804	0.003421	0.003886	0.004743	0.005274	0.002213	0.001934	0.001196	0.001103	0.001699	0.000603	0.000199	0.021877	0.000043	0.265830	0.000160	0.001488	0.123997	0.000013	0.113350	0.010827	0.010875	0.197711	-11929.207
37	0.002508	0.000929	0.003204	0.004491	0.003746	0.002935	0.001771	0.004036	0.010167	0.003390	0.003972	0.004538	0.005274	0.002213	0.001973	0.001196	0.001079	0.001749	0.000603	0.000199	0.021877	0.000002	0.265830	0.000070	0.000402	0.123997	0.000000	0.113350	0.010827	0.010875	0.197711	-11929.248
38	0.002508	0.000929	0.003204	0.004491	0.003746	0.002935	0.001771	0.004036	0.009062	0.003588	0.003972	0.003864	0.005274	0.002213	0.002016	0.001228	0.001079	0.001749	0.000603	0.005307	0.021877	0.000011	0.265830	0.004828	0.000031	0.123997	0.000012	0.113350	0.010827	0.038981	0.197711	-11940.932
39	0.002508	0.000929	0.003204	0.004491	0.003746	0.002287	0.001771	0.004036	0.012368	0.004605	0.003129	0.003473	0.005274	0.002213	0.001958	0.001228	0.001115	0.001749	0.000603	0.000181	0.021877	0.000013	0.265830	0.004828	0.000001	0.123997	0.000900	0.113350	0.010827	0.038981	0.197711	-11946.712
40	0.002508	0.001123	0.003204	0.004491	0.003746	0.002287	0.002012	0.004036	0.011758	0.004605	0.001965	0.003473	0.005274	0.002213	0.001958	0.001228	0.001152	0.001749	0.000602	0.000006	0.021877	0.000011	0.265830	0.018595	0.000001	0.123997	0.000013	0.113350	0.010827	0.038981	0.197711	-11944.178
41	0.002508	0.001123	0.003495	0.004491	0.003746	0.002287	0.002012	0.005358	0.009833	0.004605	0.002016	0.002373	0.006094	0.002213	0.002016	0.001228	0.001123	0.001756	0.000581	0.000000	0.020518	0.002002	0.265830	0.018595	0.000000	0.123997	0.000995	0.113350	0.010827	0.038981	0.197711	-11956.309
42	0.002508	0.001123	0.003495	0.004491	0.003746	0.002287	0.002012	0.006089	0.009674	0.004605	0.002016	0.003378	0.006094	0.002213	0.002044	0.001228	0.001123	0.001714	0.000581	0.000011	0.020518	0.000058	0.265830	0.000253	0.000000	0.123997	0.012832	0.113350	0.010827	0.038981	0.197711	-11962.944
43	0.002398	0.001073	0.002896	0.004294	0.003582	0.002187	0.001923	0.005821	0.008555	0.004402	0.002036	0.003251	0.006738	0.002116	0.001954	0.001174	0.001016	0.001631	0.000556	0.000416	0.020518	0.000457	0.265830	0.012500	0.000000	0.123997	0.001305	0.113350	0.010827	0.038981	0.197711	-11961.625
44	0.002398	0.001073	0.002896	0.004294	0.003582	0.002187	0.001923	0.004802	0.005915	0.003305	0.002036	0.003251	0.007626	0.002116	0.001992	0.001174	0.001016	0.001631	0.000556	0.000014	0.020518	0.012597	0.265830	0.000129	0.000000	0.123997	0.001305	0.113350	0.010827	0.038981	0.197711	-11977.005
45	0.002398	0.001073	0.002896	0.004294	0.003582	0.002187	0.001923	0.004802	0.006654	0.003305	0.002021	0.004256	0.008556	0.002116	0.001992	0.001174	0.001024	0.001601	0.000556	0.001292	0.020518	0.000337	0.265830	0.000129	0.000000	0.123997	0.001305	0.113350	0.010827	0.038981	0.197711	-11958.349
46	0.002692	0.001205	0.003250	0.004819	0.004020	0.002454	0.002159	0.005860	0.007032	0.003710	0.002166	0.004777	0.010144	0.002375	0.002236	0.001318	0.001204	0.001797	0.000660	0.027527	0.020518	0.000296	0.265830	0.005518	0.000000	0.123997	0.001305	0.113350	0.010827	0.038981	0.197711	-11969.844
47	0.002692	0.001205	0.003250	0.004819	0.004020	0.002360	0.002159	0.005860	0.005361	0.004548	0.002166	0.005685	0.008842	0.002375	0.002272	0.001297	0.001204	0.001831	0.000703	0.000199	0.020518	0.000296	0.265830	0.005518	0.000000	0.123997	0.001305	0.113350	0.010827	0.038981	0.197711	-11947.309
48	0.002692	0.001205	0.003250	0.004819	0.004020	0.002360	0.002159	0.005860	0.003993	0.004548	0.002166	0.006605	0.008567	0.002375	0.002272	0.001297	0.001204	0.001879	0.000726	0.000005	0.020518	0.000296	0.265830	0.005518	0.000000	0.144332	0.001305	0.113350	0.010827	0.038981	0.197711	-11928.289
49	0.002692	0.001205	0.003250	0.004819	0.004020	0.002360	0.002159	0.005860	0.003993	0.004376	0.002206	0.008151	0.008519	0.002375	0.002272	0.001297	0.001182	0.001919	0.000692	0.000223	0.020518	0.000296	0.265830	0.000078	0.000000	0.144332	0.000050	0.113350	0.010827	0.038981	0.197711	-11922.901
50	0.002692	0.001205	0.002291	0.005803	0.004020	0.002360	0.002159	0.007436	0.005263	0.004063	0.002924	0.009058	0.009586	0.002375	0.002245	0.001328	0.001270	0.001919	0.000692	0.000960	0.020518	0.000296	0.265830	0.000001	0.000000	0.144332	0.000050	0.113350	0.010827	0.038981	0.197711	-11934.753
51	0.002562	0.001147	0.002180	0.005524	0.003827	0.002247	0.002055	0.005931	0.005340	0.003868	0.002900	0.009147	0.010037	0.002258	0.002138	0.001265	0.001160	0.001760	0.000658	0.000960	0.020518	0.000296	0.265830	0.000184	0.000000	0.144332	0.000050	0.113350	0.010827	0.038981	0.197711	-11937.920
52	0.002432	0.001147	0.002180	0.005093	0.003827	0.002247	0.002055	0.006968	0.003919	0.003868	0.002916	0.008287	0.009369	0.002258	0.002138	0.001265	0.001154	0.001788	0.000658	0.000032	0.020518	0.000296	0.265830	0.003130	0.000000	0.144332	0.000049	0.113350	0.019015	0.038981	0.197711	-11920.083
53	0.002130	0.001004	0.001910	0.004461	0.003352	0.001968	0.001800	0.006103	0.003765	0.003388	0.002554	0.006139	0.008836	0.001978	0.001896	0.001108	0.001010	0.001566	0.000577	0.000000	0.020518	0.000360	0.265830	0.003130	0.000000	0.144332	0.000012	0.113350	0.019015	0.038981	0.197711	-11920.435
54	0.002130	0.001004	0.001910	0.004461	0.003352	0.001968	0.001487	0.007101	0.004487	0.003388	0.002554	0.005191	0.008205	0.001978	0.001896	0.001108	0.001010	0.001610	0.000577	0.000005	0.020518	0.000944	0.265830	0.000091	0.000002	0.160478	0.003214	0.113350	0.019015	0.038981	0.197711	-11929.180
55	0.002130	0.001004	0.001910	0.004461	0.003352	0.001968	0.001487	0.007017	0.004850	0.003388	0.002554	0.006235	0.007692	0.001978	0.001896	0.001108	0.001010	0.001579	0.000540	0.000000	0.020518	0.000049	0.265830	0.000091	0.000100	0.160478	0.028744	0.113350	0.019015	0.038981	0.197711	-11931.891
56	0.002202	0.001038	0.001974	0.004611	0.003465	0.002034	0.001537	0.007253	0.003948	0.002420	0.002640	0.005987	0.006824	0.002044	0.001960	0.001190	0.001045	0.001586	0.000558	0.000014	0.020518	0.000003	0.265830	0.000091	0.000027	0.160478	0.028744	0.113350	0.019015	0.038981	0.197711	-11924.529
57	0.002202	0.001038	0.001974	0.004611	0.003465	0.002034	0.001537	0.006331	0.004609	0.002420	0.002640	0.005316	0.005791	0.002044	0.001960	0.001190	0.001045	0.001545	0.000558	0.003475	0.020518	0.000044	0.265830	0.000091	0.000001	0.160478	0.028744	0.113350	0.019015	0.038981	0.197711	-11922.872
58	0.002202	0.001038	0.001974	0.004611	0.003465	0.002034	0.002495	0.006331	0.005773	0.002420	0.003291	0.006440	0.005628	0.002044	0.001960	0.001190	0.001073	0.001587	0.000574	0.000006	0.020518	0.000044	0.265830	0.000000	0.000007	0.160478	0.028744	0.113350	0.019015	0.038981	0.197711	-11929.343
59	0.002202	0.001038	0.002103	0.004611	0.003465	0.002034	0.002495	0.007814	0.005773	0.002420	0.003291	0.004744	0.005628	0.002044	0.001960	0.001190	0.001073	0.001617	0.000574	0.000014	0.020518	0.000044	0.265830	0.000003	0.000283	0.160478	0.028744	0.032390	0.019015	0.038981	0.197711	-11919.493
60	0.002158	0.001018	0.002062	0.004520	0.003396	0.001994	0.002044	0.007660	0.006017	0.002372	0.003226	0.004403	0.005517	0.002004	0.001922	0.001166	0.001051	0.001538	0.000563	0.000001	0.020518	0.004368	0.265830	0.000121	0.000283	0.160478	0.000080	0.032390	0.019015	0.038981	0.197711	-11934.224
61	0.002158	0.001018	0.002062	0.004520	0.003396	0.001994	0.002044	0.006429	0.006017	0.002372	0.003226	0.004278	0.005517	0.002004	0.001922	0.001166	0.001051	0.001566	0.000563	0.000000	0.020518	0.003428	0.265830	0.000158	0.000283	0.160478	0.000423	0.032390	0.019015	0.038981	0.197711	-11944.301
62	0.002404	0.001134	0.002297	0.005036	0.003784	0.002221	0.002195	0.007162	0.007360	0.002643	0.003594	0.005760	0.008008	0.002233	0.002105	0.001299	0.001171	0.001745	0.000627	0.000001	0.020518	0.000410	0.265830	0.000025	0.000283	0.160478	0.000423	0.032390	0.044755	0.038981	0.197711	-11929.685
63	0.002404	0.001134	0.002297	0.005036	0.003685	0.002221	0.002195	0.007162	0.006378	0.002970	0.002474	0.005152	0.007881	0.002233	0.002136	0.001262	0.001171	0.001732	0.000627	0.000040	0.020518	0.000410	0.265830	0.000120	0.000007	0.160478	0.000014	0.032390	0.044755	0.038981	0.197711	-11937.328
64	0.002404	0.001134	0.002297	0.005036	0.003685	0.002221	0.002195	0.006419	0.005161	0.002970	0.002474	0.005901	0.007881	0.002233	0.002201	0.001262	0.001171	0.001781	0.000627	0.000007	0.020518	0.000410	0.265830	0.000003	0.000265	0.160478	0.000014	0.032390	0.044755	0.038981	0.197711	-11943.873
65	0.002404	0.001134	0.002297	0.005036	0.003685	0.002221	0.002195	0.005379	0.005161	0.002970	0.002964	0.004723	0.008551	0.002233	0.002201	0.001262	0.001171	0.001821	0.000627	0.000007	0.020518	0.000410	0.265830	0.000019	0.008737	0.160478	0.000731	0.032390	0.025778	0.038981	0.197711	-11948.884
66	0.002404	0.001134	0.002297	0.005036	0.003685	0.002038	0.002195	0.005379	0.004449	0.003196	0.002113	0.003294	0.008551	0.002233	0.002165	0.001256	0.001131	0.001821	0.000627	0.000000	0.020518	0.009236	0.265830	0.000742	0.008737	0.160478	0.000731	0.032390	0.014197	0.038981	0.197711	-11930.307
67	0.003217	0.001134	0.002297	0.005036	0.003685	0.002038	0.002195	0.005379	0.005110	0.003196	0.001997	0.004075	0.008170	0.002233	0.002121	0.001256	0.001131	0.001821	0.000622	0.000000	0.020518	0.009236	0.265830	0.000742	0.008737	0.160478	0.000019	0.032390	0.014197	0.038981	0.197711	-11934.653
68	0.002966	0.001134	0.002297	0.005036	0.004721	0.002038	0.002195	0.005379	0.003176	0.003196	0.001796	0.003795	0.009582	0.002233	0.002177	0.001256	0.001192	0.001910	0.000622	0.000000	0.020518	0.000264	0.265830	0.006291	0.002645	0.160478	0.002887	0.032390	0.014197	0.038981	0.197711	-11944.298
69	0.002966	0.001134	0.002297	0.005036	0.003724	0.002038	0.002195	0.004271	0.003176	0.003196	0.001796	0.004896	0.008397	0.002233	0.002177	0.001256	0.001192	0.001817	0.000622	0.000018	0.020518	0.000013	0.265830	0.006291	0.002645	0.160478	0.002887	0.032390	0.014197	0.038981	0.197711	-11929.674
70	0.002966	0.001134	0.002297	0.005036	0.003724	0.002038	0.002195	0.004271	0.003539	0.002810	0.002808	0.005141	0.008397	0.002233	0.002177	0.001276	0.001192	0.001846	0.000622	0.000389	0.020518	0.000325	0.265830	0.000143	0.002645	0.160478	0.046124	0.032390	0.014197	0.038981	0.197711	-11953.595
71	0.002966	0.001134	0.002218	0.005036	0.003724	0.002038	0.002195	0.004271	0.003539	0.002810	0.002808	0.005141	0.009223	0.002233	0.002177	0.001276	0.001192	0.001846	0.000622	0.004580	0.002354	0.000325	0.265830	0.000003	0.001272	0.160478	0.046124	0.032390	0.014197	0.038981	0.197711	-11944.528
72	0.002966	0.001134	0.002218	0.005036	0.003724	0.002038	0.002195	0.004271	0.002629	0.002810	0.002259	0.004090	0.010359	0.002233	0.002225	0.001276	0.001203	0.001846	0.000622	0.000197	0.000073	0.000002	0.265830	0.000113	0.001272	0.160478	0.046124	0.032390	0.014197	0.038981	0.197711	-11987.063
73	0.002899	0.001108	0.002168	0.004726	0.003640	0.001992	0.002145	0.004174	0.003266	0.002746	0.002563	0.003997	0.009576	0.002182	0.002137	0.001247	0.001176	0.001804	0.000608	0.008349	0.002676	0.000002	0.265830	0.000001	0.001272	0.160478	0.000023	0.032390	0.014197	0.038981	0.197711	-11964.407
74	0.002873	0.001108	0.002168	0.004726	0.003640	0.002071	0.002145	0.005209	0.003035	0.003594	0.002563	0.003865	0.008269	0.002182	0.002162	0.001247	0.001176	0.001845	0.000608	0.001035	0.002676	0.000000	0.265830	0.000000	0.018081	0.160478	0.000790	0.032390	0.014197	0.038981	0.197711	-11971.444
75	0.002873	0.001108	0.002725	0.004726	0.003640	0.002071	0.002145	0.004651	0.003096	0.003594	0.002563	0.004644	0.009033	0.002184	0.002156	0.001247	0.001176	0.001871	0.000608	0.000360	0.002676	0.000000	0.265830	0.000000	0.001483	0.160478	0.003348	0.032390	0.014197	0.038981	0.197711	-11951.781
76	0.002785	0.001074	0.002642	0.005050	0.003529	0.002008	0.002079	0.005119	0.001598	0.003484	0.002485	0.004503	0.009598	0.002118	0.002090	0.001209	0.001140	0.001814	0.000593	0.000013	0.002676	0.000000	0.265830	0.000000	0.001483	0.160478	0.003348	0.032390	0.014197	0.038981	0.197711	-11970.621
77	0.002987	0.001152	0.002833	0.004781	0.003784	0.002153	0.002237	0.005490	0.001714	0.003736	0.002665	0.004013	0.009435	0.002271	0.002241	0.001296	0.001223	0.001932	0.000636	0.000002	0.000118	0.000000	0.265830	0.000000	0.001483	0.160478	0.003348	0.032390	0.014197	0.038981	0.197711	-11959.006
78	0.002711	0.001152	0.002833	0.004781	0.003320	0.002153	0.002237	0.006369	0.001924	0.003736	0.003790	0.003887	0.009435	0.002271	0.002208	0.001296	0.001174	0.001974	0.000636	0.000052	0.006701	0.000006	0.265830	0.000000	0.000038	0.160478	0.003348	0.032390	0.014197	0.038981	0.197711	-11938.981
79	0.002466	0.001048	0.002970	0.004349	0.003906	0.002832	0.002035	0.006051	0.002567	0.003927	0.004830	0.003536	0.009461	0.002065	0.002008	0.001179	0.001106	0.001796	0.000579	0.000068	0.006701	0.000000	0.342887	0.000000	0.000000	0.160478	0.003348	0.032390	0.014197	0.038981	0.197711	-11950.082
80	0.002416	0.001027	0.002910	0.004261	0.003827	0.002774	0.001819	0.005929	0.002515	0.004725	0.003702	0.003620	0.010158	0.002024	0.001967	0.001155	0.001084	0.001708	0.000567	0.000126	0.000256	0.000000	0.342887	0.000000	0.000000	0.160478	0.003348	0.032390	0.014197	0.038981	0.197711	-11957.835
81	0.002416	0.001027	0.002910	0.004299	0.003827	0.002774	0.001819	0.005929	0.003168	0.004725	0.004591	0.004635	0.008442	0.002024	0.001967	0.001155	0.001084	0.001734	0.000622	0.000008	0.002077	0.000000	0.342887	0.000000	0.000000	0.146455	0.003348	0.032390	0.014197	0.038981	0.197711	-11987.065
82	0.001887	0.001027	0.002910	0.004299	0.003827	0.002774	0.001819	0.005929	0.003954	0.004725	0.003662	0.003579	0.009571	0.002024	0.001967	0.001155	0.001084	0.001734	0.000622	0.002804	0.002077	0.000000	0.342887	0.000007	0.000003	0.146455	0.000029	0.032390	0.014197	0.038981	0.197711	-11984.907
83	0.003138	0.001175	0.003331	0.004921	0.004381	0.003176	0.002082	0.006787	0.005116	0.005409	0.003132	0.003884	0.009863	0.002317	0.002221	0.001322	0.001240	0.002054	0.000712	0.000465	0.002077	0.000000	0.342887	0.000001	0.000000	0.146455	0.000000	0.032390	0.046060	0.038981	0.197711	-11970.348
