,theta,tau
El,0.002663,
Po,0.006216,
An,0.002104,
Ab,0.002886,
Mi,0.000924,
GeTr,0.006379,
PoAbMiAnGeTrEl,0.007217,0.001833
PoAbMiAnGeTr,0.006481,0.001715
PoAbMi,0.004102,0.000662
AbMi,0.00357,0.000578
AnGeTr,0.016628,0.000641
