,theta,tau
AQU,0.007118,
SOL,0.002743,
LIT,0.001106,
PELOZKMEG,0.004482,
PELOZKMEGLITSOLAQU,0.005539,0.000902
PELOZKMEGLITSOL,0.004765,0.000883
PELOZKMEGLIT,0.034567,0.000342
