,node 1,node 2,gdi 1,gdi 2,merge accepted
0,10p,9p,0.26,0.24,True
1,25p,36p,0.73,0.83,False
2,15p,18p,0.39,0.26,True
3,14p,8p,0.24,0.18,True
4,19p,16p,0.06,0.7,True
5,30p,23p,0.66,0.79,False
6,24p,27p,0.45,0.54,False
7,1p,5p,0.72,0.34,False
8,28p,26p,0.28,0.23,True
9,39p,38p,0.36,0.35,False
10,42p,43p,0.37,0.45,False
11,34p,33p,0.13,0.12,True
12,44p,48p,0.51,0.26,True
13,47p,45p,0.6,0.61,False
14,46p,4p,0.17,0.69,True
15,35p,37p,0.19,0.29,True
