,theta,tau
2p,0.003902,
3p,0.001529,
12p,0.002005,
7p,0.001513,
6p,0.003808,
22p,0.004849,
13p,0.005029,
10p,0.00178,
9p,0.001969,
11p,0.004798,
25p,0.002314,
36p,0.001715,
15p,0.003119,
18p,0.005081,
14p,0.002699,
8p,0.003648,
19p,0.011295,
16p,0.000555,
17p,0.001405,
29p,0.001644,
21p,0.0058,
20p,0.004998,
30p,0.000713,
23p,0.000484,
24p,0.000943,
27p,0.00073,
1p,0.000998,
5p,0.003075,
40p,0.00608,
28p,0.004283,
26p,0.005443,
41p,0.001429,
31p,0.003308,
32p,0.004463,
39p,0.002665,
38p,0.002729,
42p,0.003203,
43p,0.002519,
34p,0.00363,
33p,0.003974,
44p,0.000999,
48p,0.00231,
47p,0.00072,
45p,0.000704,
46p,0.003537,
4p,0.000585,
35p,0.005063,
37p,0.003127,
2p3p7p10p9p6p11p14p8p12p22p25p36p13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.018297,0.005292
3p7p10p9p6p11p14p8p12p22p25p36p13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.006923,0.00529
3p7p10p9p6p11p14p8p,0.027235,0.002748
7p10p9p6p11p14p8p,0.019442,0.001707
7p10p9p,0.006531,0.000418
10p9p,0.005022,0.000273
6p11p14p8p,0.019017,0.001045
11p14p8p,0.004677,0.0009
14p8p,0.008387,0.000369
12p22p25p36p13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.86332,0.004352
12p22p25p36p,0.008984,0.003103
22p25p36p,0.009446,0.001879
25p36p,0.00384,0.001519
13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.009845,0.00418
13p15p18p,0.06073,0.001645
15p18p,0.006818,0.000771
19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.01088,0.004175
19p16p17p20p24p27p,0.041981,0.001142
19p16p,0.006845,0.000332
17p20p24p27p,0.007776,0.001027
20p24p27p,0.003842,0.000643
24p27p,0.001936,0.000285
29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.04902,0.003618
29p30p23p,0.048234,0.00213
30p23p,0.003112,0.000383
21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.048298,0.003009
1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.007764,0.002988
1p5p,0.005308,0.000632
40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.024931,0.002498
40p39p38p41p42p43p44p48p47p45p,0.006668,0.002121
39p38p41p42p43p44p48p47p45p,0.004285,0.001886
39p38p41p,0.021159,0.000719
39p38p,0.004891,0.00059
42p43p44p48p47p45p,0.008936,0.001132
42p43p,0.007561,0.000743
44p48p47p45p,0.010808,0.000671
44p48p,0.001291,0.000354
47p45p,0.006355,0.00033
28p26p31p34p33p32p46p4p35p37p,0.007757,0.002458
28p26p,0.019708,0.000706
31p34p33p32p46p4p35p37p,0.008725,0.002443
31p34p33p,0.018466,0.000671
34p33p,0.012397,0.000255
32p46p4p35p37p,0.007555,0.000886
46p4p35p37p,0.004627,0.000822
46p4p,0.004869,0.00034
35p37p,0.001637,0.000541
