,theta,tau
AQU,0.007135,
SOL,0.00276,
LIT,0.001415,
MEG,0.002759,
PEL,0.000949,
OZK,0.001633,
PELOZKMEGLITSOLAQU,0.005564,0.000896
PELOZKMEGLITSOL,0.004589,0.00088
PELOZKMEGLIT,0.027103,0.000468
PELOZKMEG,0.008547,0.000311
PELOZK,0.00162,0.000214
