,theta,tau
AQU,0.007133,
SOL,0.00273,
LIT,0.001351,
MEG,0.002243,
PELOZK,0.002126,
PELOZKMEGLITSOLAQU,0.005535,0.0009
PELOZKMEGLITSOL,0.004802,0.000883
PELOZKMEGLIT,0.032163,0.000444
PELOZKMEG,0.010252,0.00025
