,node 1,node 2,gdi 1,gdi 2,merge accepted
0,7p,10p9p,0.43,0.17,True
1,13p,15p18p,0.49,0.34,False
2,11p,14p8p,0.31,0.21,True
3,25p,36p,0.73,0.83,False
4,30p,23p,0.66,0.79,False
5,24p,27p,0.45,0.54,False
6,1p,5p,0.72,0.34,False
7,31p,34p33p,0.33,0.12,True
8,39p,38p,0.36,0.35,False
9,42p,43p,0.37,0.45,False
10,46p4p,35p37p,0.42,0.32,False
11,47p,45p,0.6,0.61,False
