,theta,tau
El,0.002624,
Po,0.006182,
An,0.002442,
Ab,0.002863,
Mi,0.000914,
Ge,0.003043,
Tr,0.002023,
PoAbMiAnGeTrEl,0.007146,0.001843
PoAbMiAnGeTr,0.007233,0.001699
PoAbMi,0.004077,0.000653
AbMi,0.003628,0.000572
AnGeTr,0.013022,0.000855
GeTr,0.014855,0.00034
