,theta,tau
2p,0.004769,
3p,0.001735,
12p,0.002051,
7p10p9p,0.00622,
6p11p14p8p,0.016431,
22p,0.004881,
13p,0.005394,
25p,0.002319,
36p,0.001717,
15p18p,0.008595,
19p16p,0.004717,
17p,0.001281,
29p,0.001718,
21p,0.005218,
20p,0.004909,
30p,0.000698,
23p,0.000479,
24p,0.000957,
27p,0.000744,
1p,0.001056,
5p,0.003216,
40p,0.005868,
28p26p,0.01453,
41p,0.001314,
31p34p33p,0.015732,
32p,0.004441,
39p,0.002518,
38p,0.002577,
42p,0.003172,
43p,0.002476,
44p48p,0.002243,
47p,0.00073,
45p,0.000706,
46p4p,0.002918,
35p37p,0.00408,
2p3p7p10p9p6p11p14p8p12p22p25p36p13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.006661,0.008104
3p7p10p9p6p11p14p8p12p22p25p36p13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.093689,0.004031
3p7p10p9p6p11p14p8p,0.008246,0.003469
7p10p9p6p11p14p8p,0.024772,0.001618
12p22p25p36p13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.009836,0.004027
12p22p25p36p,0.006773,0.003175
22p25p36p,0.009651,0.001885
25p36p,0.003875,0.001522
13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.053017,0.003223
13p15p18p,0.036605,0.001803
19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.008506,0.003221
19p16p17p20p24p27p,0.034335,0.000981
17p20p24p27p,0.005577,0.000928
20p24p27p,0.00296,0.000636
24p27p,0.001876,0.00029
29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.005053,0.003203
29p30p23p,0.036381,0.002281
30p23p,0.003317,0.000379
21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.044847,0.002597
1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.008959,0.002585
1p5p,0.004431,0.000671
40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.01591,0.002308
40p39p38p41p42p43p44p48p47p45p,0.004704,0.002044
39p38p41p42p43p44p48p47p45p,0.004159,0.00181
39p38p41p,0.020811,0.000655
39p38p,0.004711,0.000555
42p43p44p48p47p45p,0.00848,0.001104
42p43p,0.007264,0.00073
44p48p47p45p,0.009006,0.000721
47p45p,0.007099,0.000331
28p26p31p34p33p32p46p4p35p37p,0.008397,0.002258
31p34p33p32p46p4p35p37p,0.007617,0.002245
32p46p4p35p37p,0.006719,0.000866
46p4p35p37p,0.005259,0.000785
