,theta,tau
El,0.002703,
Po,0.006159,
AnGeTr,0.010223,
Ab,0.00287,
Mi,0.000917,
PoAbMiAnGeTrEl,0.007467,0.001825
PoAbMiAnGeTr,0.007932,0.001649
PoAbMi,0.003982,0.000657
AbMi,0.003677,0.000576
