,theta,tau
2p,0.004754,
3p,0.00172,
12p,0.002041,
7p10p9p,0.006205,
6p,0.004081,
22p,0.004844,
13p,0.005431,
11p14p8p,0.012011,
25p,0.002292,
36p,0.001721,
15p18p,0.008661,
19p16p,0.005071,
17p,0.001367,
29p,0.001744,
21p,0.005916,
20p,0.00492,
30p,0.000692,
23p,0.000483,
24p,0.000967,
27p,0.000747,
1p,0.000981,
5p,0.003035,
40p,0.005904,
28p26p,0.014365,
41p,0.001315,
31p34p33p,0.015643,
32p,0.004366,
39p,0.002462,
38p,0.002521,
42p,0.003153,
43p,0.002485,
44p48p,0.002279,
47p,0.000666,
45p,0.000659,
46p4p,0.002891,
35p37p,0.004066,
2p3p7p10p9p6p11p14p8p12p22p25p36p13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.006853,0.007997
3p7p10p9p6p11p14p8p12p22p25p36p13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.106629,0.003746
3p7p10p9p6p11p14p8p,0.004685,0.003444
7p10p9p6p11p14p8p,0.023977,0.00161
6p11p14p8p,0.014103,0.001133
12p22p25p36p13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.014762,0.003742
12p22p25p36p,0.004759,0.003179
22p25p36p,0.009434,0.001867
25p36p,0.00392,0.001505
13p15p18p19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.044129,0.003162
13p15p18p,0.034494,0.001825
19p16p17p20p24p27p29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.00753,0.00316
19p16p17p20p24p27p,0.032314,0.001072
17p20p24p27p,0.006216,0.000996
20p24p27p,0.003648,0.000635
24p27p,0.001851,0.000291
29p30p23p21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.004989,0.003155
29p30p23p,0.036841,0.002313
30p23p,0.003342,0.000379
21p1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.004346,0.003101
1p5p40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.007405,0.003068
1p5p,0.005425,0.000619
40p39p38p41p42p43p44p48p47p45p28p26p31p34p33p32p46p4p35p37p,0.035905,0.002248
40p39p38p41p42p43p44p48p47p45p,0.003679,0.002059
39p38p41p42p43p44p48p47p45p,0.003993,0.001829
39p38p41p,0.021329,0.000654
39p38p,0.005069,0.00054
42p43p44p48p47p45p,0.008666,0.001101
42p43p,0.007222,0.000729
44p48p47p45p,0.008695,0.000738
47p45p,0.007846,0.000306
28p26p31p34p33p32p46p4p35p37p,0.007499,0.002202
31p34p33p32p46p4p35p37p,0.008721,0.002192
32p46p4p35p37p,0.006624,0.000849
46p4p35p37p,0.004881,0.000777
