,theta,tau
gir_ang,0.000422,
tip_tho,0.000331,
ret,0.000668,
cam_rot_ant,0.000553,
per,0.000547,
giraffatippelskirchicam_rot_antperaltareticulata,0.003148,0.000713
giraffatippelskirchi,0.001844,0.000316
cam_rot_antperaltareticulata,0.000966,0.000279
cam_rot_antperalta,0.000717,0.000152
